CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"2,795.90","3,309.65",780,"20,100.00",-,-,0.05,"11,830",-0.80,0.05,76.59,"1,59,860","-47,846","24,990",
,-,-,-,-,-,-,780,"2,749.15","3,265.85",780,"20,150.00",-,-,0.05,"1,950",-0.80,0.05,75.32,"13,457","-1,200","1,912",
,2,-,-,-,"2,467.30",-,"3,380","2,635.25","2,946.30",65,"20,200.00",-,-,0.05,"76,440",-0.90,0.05,74.05,"1,33,765","-48,943","57,073",
,-,-,-,-,-,-,780,"2,824.30","3,037.35",780,"20,250.00",-,-,0.05,"18,915",-0.90,0.05,72.78,"24,963","-3,143","13,235",
,1,-,2,116.61,"2,836.90",479.90,130,"2,785.85","2,831.30",65,"20,300.00",-,-,0.05,"64,480",-0.95,0.05,71.52,"45,806","-12,194","5,987",
,-,-,-,-,-,-,780,"2,552.80","2,908.30",780,"20,350.00",-,-,0.05,"80,405",-0.95,0.05,70.26,"8,922",553,"2,618",
,-,-,-,-,-,-,130,"2,678.85","2,760.30",65,"20,400.00",-,-,0.05,"5,200",-1.05,0.05,68.99,"23,315","-2,527","3,547",
,-,-,-,-,-,-,780,"2,624.00","2,907.35",780,"20,450.00",-,-,0.05,"3,185",-1.10,0.05,67.73,"9,775",-227,"1,189",
,394,-11,106,-,"2,625.95",156.55,260,"2,617.90","2,624.30",130,"20,500.00",-,-,0.05,"14,560",-1.25,0.05,66.48,"1,93,029","-58,785","21,382",
,2,-,-,-,"2,144.65",-,130,"2,560.60","2,704.65","1,755","20,550.00",-,-,0.05,"4,680",-1.30,0.05,65.22,"13,267",-675,"2,221",
,6,-,-,-,"2,335.00",-,390,"2,405.20","2,724.35","1,690","20,600.00",-,-,0.05,"9,685",-1.25,0.05,63.96,"27,142","-7,365","3,512",
,1,-,-,-,"1,996.85",-,130,"2,448.30","2,644.60","1,690","20,650.00",-,-,0.05,"5,850",-1.40,0.05,62.71,"12,358","-1,404","2,208",
,2,-,-,-,"2,240.00",-,130,"2,404.60","2,619.05","1,690","20,700.00",-,-,0.05,"7,150",-1.45,0.05,61.46,"39,005","-10,006","8,828",
,2,-,-,-,"1,679.35",1.35,130,"2,354.00","2,575.65","1,690","20,750.00",-,-,0.05,"1,105",-1.55,0.05,60.21,"12,017",-386,"2,848",
